month,tenure,mean,median,n
2010-01-01,Leasehold,359423.7987092809,263216.5,3254
2010-02-01,Freehold,450646.98398169334,306000.0,3059
2010-02-01,Leasehold,331104.5770858525,249950.0,3308
2010-03-01,Freehold,475377.6180515759,303000.0,3490
2010-03-01,Leasehold,332060.6163149768,250000.0,3886
2010-04-01,Freehold,459107.80392740254,315000.0,3361
2010-04-01,Leasehold,347090.5798769066,250000.0,3737
2010-05-01,Freehold,434699.10384959716,315000.0,3351
2010-05-01,Leasehold,331407.2007863696,250000.0,3815
2010-06-01,Freehold,454967.10921501706,320000.0,4102
2010-06-01,Leasehold,350596.2546413502,255975.0,4740
2010-07-01,Freehold,529882.7015761095,345000.0,4822
2010-07-01,Leasehold,360122.41461864405,266250.0,4720
2010-08-01,Freehold,485662.47338359605,339000.0,4377
2010-08-01,Leasehold,346501.7467259121,260000.0,4276
2010-09-01,Freehold,494360.04225352115,330000.0,3905
2010-09-01,Leasehold,350791.65381984034,250000.0,4385
2010-10-01,Freehold,480662.9199695122,329000.0,3936
2010-10-01,Leasehold,337083.54912718205,250000.0,4010
2010-11-01,Freehold,464907.7046436285,315000.0,3704
2010-11-01,Leasehold,339125.3,250000.0,4030
2010-12-01,Freehold,477369.33980582526,322000.0,3502
2010-12-01,Leasehold,354929.4443060055,250000.0,4013
2011-01-01,Freehold,512699.42080463935,330000.0,2759
2011-01-01,Leasehold,363948.59557661926,270000.0,3165
2011-02-01,Freehold,462612.4563449982,310000.0,2829
2011-02-01,Leasehold,358630.16429752065,250000.0,3025
2011-03-01,Freehold,549435.9649546827,315000.0,3310
2011-03-01,Leasehold,376791.5364431487,250000.0,3430
2011-04-01,Freehold,550584.334200636,335000.0,3459
2011-04-01,Leasehold,385447.7782546495,265000.0,3495
2011-05-01,Freehold,427170.19455006334,315000.0,3156
2011-05-01,Leasehold,334590.35461835464,260000.0,3367
2011-06-01,Freehold,456859.02338530065,315000.0,3592
2011-06-01,Leasehold,344617.6857142857,266000.0,4305
2011-07-01,Freehold,509460.7315706924,345000.0,4463
2011-07-01,Leasehold,362576.81173762947,268000.0,4345
2011-08-01,Freehold,514121.4072782741,348000.0,4589
2011-08-01,Leasehold,354110.6456429686,269000.0,4487
2011-09-01,Freehold,505315.83286252356,336250.0,4248
2011-09-01,Leasehold,358211.21782178216,266500.0,4545
2011-10-01,Freehold,464323.1927867151,325500.0,3854
2011-10-01,Leasehold,343184.5646741793,260000.0,4082
2011-11-01,Freehold,477416.34373361303,316000.0,3814
2011-11-01,Leasehold,346669.474507944,250000.0,4217
2011-12-01,Freehold,454713.09958613553,325000.0,3866
2011-12-01,Leasehold,350480.42378255946,250000.0,4415
2012-01-01,Freehold,484917.81212503946,329950.0,3167
2012-01-01,Leasehold,355091.907971864,260000.0,3412
2012-02-01,Freehold,466457.0699588477,315000.0,3159
2012-02-01,Leasehold,349812.6910729372,250000.0,3551
2012-03-01,Freehold,438094.5331167208,285000.0,4001
2012-03-01,Leasehold,317627.7733798991,240000.0,5154
2012-04-01,Freehold,539635.7610017889,353000.0,2795
2012-04-01,Leasehold,380379.9585152838,287250.0,3206
2012-05-01,Freehold,516562.4619200467,350000.0,3427
2012-05-01,Leasehold,388241.54347281385,285000.0,3991
2012-06-01,Freehold,532704.2620434092,354997.5,3778
2012-06-01,Leasehold,394762.39496370236,280000.0,4408
2012-07-01,Freehold,546678.1791115312,359725.0,4232
2012-07-01,Leasehold,395878.3115577889,280000.0,4577
2012-08-01,Freehold,524486.0612560813,358000.0,4522
2012-08-01,Leasehold,384479.47258938244,280000.0,4615
2012-09-01,Freehold,546065.0792079208,350000.0,3535
2012-09-01,Leasehold,371327.42957586754,281000.0,4409
2012-10-01,Freehold,508328.1406290616,340000.0,3847
2012-10-01,Leasehold,385363.544137931,275000.0,4350
2012-11-01,Freehold,488821.20520446094,336000.0,4035
2012-11-01,Leasehold,384712.10163652024,270000.0,4644
2012-12-01,Freehold,496736.38844393595,342835.0,3496
2012-12-01,Leasehold,405135.49588974856,280000.0,4136
2013-01-01,Freehold,528702.0895330113,350000.0,3105
2013-01-01,Leasehold,398687.4746936601,280000.0,3754
2013-02-01,Freehold,507083.7026588846,324872.5,3084
2013-02-01,Leasehold,399155.1736609608,270000.0,3622
2013-03-01,Freehold,531090.3975007439,339000.0,3361
2013-03-01,Leasehold,381795.8019368227,268995.0,4337
2013-04-01,Freehold,551859.6597845601,352500.0,3342
2013-04-01,Leasehold,418437.5355566454,290000.0,4078
2013-05-01,Freehold,524573.5137314185,350000.0,3969
2013-05-01,Leasehold,409345.20122191566,290000.0,5074
2013-06-01,Freehold,568525.3200103146,367750.0,3878
2013-06-01,Leasehold,392905.35138316656,295000.0,5097
2013-07-01,Freehold,586946.8940371457,375000.0,5115
2013-07-01,Leasehold,417903.19014573214,298000.0,5764
2013-08-01,Freehold,573364.5476603119,380000.0,5193
2013-08-01,Leasehold,408705.6517737617,300000.0,5976
2013-09-01,Freehold,575835.6865869854,373000.0,4518
2013-09-01,Leasehold,426327.7195272535,305000.0,5669
2013-10-01,Freehold,552132.1768748737,365000.0,4947
2013-10-01,Leasehold,398844.23976507166,294500.0,5789
2013-11-01,Freehold,559172.9661600811,370000.0,4935
2013-11-01,Leasehold,408033.68327173387,298000.0,6223
2013-12-01,Freehold,551652.2897029261,370000.0,4477
2013-12-01,Leasehold,430755.52235604683,310000.0,6061
2014-01-01,Freehold,589308.3603060514,385000.0,4313
2014-01-01,Leasehold,435782.1164523943,315500.0,5367
2014-02-01,Freehold,569188.7724670152,380000.0,4017
2014-02-01,Leasehold,434800.89057632396,305000.0,5136
2014-03-01,Freehold,574632.8394026723,380000.0,3817
2014-03-01,Leasehold,417621.24254143646,300500.0,5430
2014-04-01,Freehold,616476.0264563725,405000.0,3931
2014-04-01,Leasehold,464909.9731663685,335000.0,5590
2014-05-01,Freehold,617577.7339045288,405000.0,4085
2014-05-01,Leasehold,471255.4785627495,341500.0,5761
2014-06-01,Freehold,619197.1521258295,409995.0,4069
2014-06-01,Leasehold,481747.6188765513,341552.0,6124
2014-07-01,Freehold,691781.8485294117,430000.0,4760
2014-07-01,Leasehold,473272.92489613296,340000.0,6258
2014-08-01,Freehold,658242.9268693508,440000.0,4868
2014-08-01,Leasehold,448098.9428289798,345000.0,6087
2014-09-01,Freehold,626360.3279472007,425000.0,4394
2014-09-01,Leasehold,472563.32694962044,342750.0,5796
2014-10-01,Freehold,585437.7469984719,419500.0,4581
2014-10-01,Leasehold,496237.3374936752,334761.0,5929
2014-11-01,Freehold,595553.0434560328,420000.0,3912
2014-11-01,Leasehold,437593.6639790365,326000.0,4961
2014-12-01,Freehold,595778.0893743794,413750.0,4028
2014-12-01,Leasehold,467578.8019110621,346084.0,5442
2015-01-01,Freehold,625686.9732988803,420000.0,3483
2015-01-01,Leasehold,460903.6425794649,340000.0,4373
2015-02-01,Freehold,593673.3304910321,415000.0,3401
2015-02-01,Leasehold,463409.5650644783,343000.0,4265
2015-03-01,Freehold,600998.5484419264,415000.0,3530
2015-03-01,Leasehold,452275.93505445746,345000.0,4958
2015-04-01,Freehold,632215.2096291865,445000.0,3344
2015-04-01,Leasehold,466166.05376344087,360000.0,4650
2015-05-01,Freehold,585494.5971164309,430850.0,3676
2015-05-01,Leasehold,487710.17473010794,360000.0,5002
2015-06-01,Freehold,627304.7400143506,445000.0,4181
2015-06-01,Leasehold,466114.43562726374,365000.0,6074
2015-07-01,Freehold,661783.6813867906,470000.0,5163
2015-07-01,Leasehold,487037.0911093627,365000.0,6355
2015-08-01,Freehold,670633.7810043668,472750.0,4580
2015-08-01,Leasehold,469994.2548739045,380000.0,5591
2015-09-01,Freehold,661285.3762711864,465000.0,4425
2015-09-01,Leasehold,492206.4985600542,374950.0,5903
2015-10-01,Freehold,641063.53125,475000.0,4704
2015-10-01,Leasehold,474600.9479615512,372000.0,6034
2015-11-01,Freehold,657708.9019422075,475000.0,4222
2015-11-01,Leasehold,481814.1833607006,375000.0,5481
2015-12-01,Freehold,633759.176130895,478000.0,4156
2015-12-01,Leasehold,513804.081629204,385000.0,5917
2016-01-01,Freehold,679851.7766962496,495000.0,3493
2016-01-01,Leasehold,508962.32535242784,390000.0,4469
2016-02-01,Freehold,661158.6966906475,478000.0,3475
2016-02-01,Leasehold,494888.312954254,385500.0,4678
2016-03-01,Freehold,744154.073043737,510000.0,6722
2016-03-01,Leasehold,553630.2368073879,405000.0,10612
2016-04-01,Freehold,626356.402461258,475000.0,2194
2016-04-01,Leasehold,537270.8053633218,400000.0,3468
2016-05-01,Freehold,639243.0654031958,490000.0,2691
2016-05-01,Leasehold,498907.7931668857,390000.0,3805
2016-06-01,Freehold,655617.8324039653,510000.0,3228
2016-06-01,Leasehold,522952.4769621242,420750.0,5122
2016-07-01,Freehold,692955.8828555678,512750.0,3628
2016-07-01,Leasehold,484525.6064824021,400000.0,5029
2016-08-01,Freehold,665570.6697802198,500000.0,3640
2016-08-01,Leasehold,478666.3435402685,391792.5,4768
2016-09-01,Freehold,687031.3757104398,505000.0,3343
2016-09-01,Leasehold,514922.7577405858,410875.0,4780
2016-10-01,Freehold,652584.6196960101,490000.0,3158
2016-10-01,Leasehold,519040.9690656566,400000.0,4752
2016-11-01,Freehold,664306.6508283839,500000.0,3199
2016-11-01,Leasehold,517610.58395833336,405999.5,4800
2016-12-01,Freehold,722136.4451238153,517000.0,3271
2016-12-01,Leasehold,570551.8836327345,420000.0,5010
2017-01-01,Freehold,709354.8101310662,525000.0,2823
2017-01-01,Leasehold,544761.1005797832,412500.0,3967
2017-02-01,Freehold,673597.4199785177,500000.0,2793
2017-02-01,Leasehold,535217.1269072414,405000.0,4129
2017-03-01,Freehold,701674.0122878876,500000.0,3418
2017-03-01,Leasehold,542796.7498989899,412000.0,4950
2017-04-01,Freehold,746584.3566631319,520000.0,2829
2017-04-01,Leasehold,574328.8544647262,420000.0,4054
2017-05-01,Freehold,711179.7122626328,523000.0,3107
2017-05-01,Leasehold,565392.9249724973,440000.0,4545
2017-06-01,Freehold,718783.944568869,532500.0,3572
2017-06-01,Leasehold,555608.8836166635,440000.0,5353
2017-07-01,Freehold,726294.5396694215,545000.0,3630
2017-07-01,Leasehold,537982.6849785408,425000.0,4660
2017-08-01,Freehold,719470.6348558306,545000.0,3919
2017-08-01,Leasehold,538974.7671030406,422997.5,4736
2017-09-01,Freehold,713811.649068323,535000.0,3542
2017-09-01,Leasehold,550462.0082350323,425000.0,4493
2017-10-01,Freehold,684415.4675324676,525000.0,3465
2017-10-01,Leasehold,557186.5530869972,425000.0,4276
2017-11-01,Freehold,662670.688125,515000.0,3200
2017-11-01,Leasehold,583187.194167852,420000.0,4218
2017-12-01,Freehold,690105.1951961082,525000.0,3289
2017-12-01,Leasehold,594232.7110960758,425000.0,4434
2018-01-01,Freehold,732106.1836510263,523997.5,2728
2018-01-01,Leasehold,613197.0728368018,425000.0,3652
2018-02-01,Freehold,674071.2933777284,515000.0,2703
2018-02-01,Leasehold,584819.7877412032,425000.0,3524
2018-03-01,Freehold,693905.7570967742,520500.0,3100
2018-03-01,Leasehold,557533.4741144414,415000.0,4037
2018-04-01,Freehold,723908.0599095705,525000.0,2654
2018-04-01,Leasehold,578664.7268758527,418500.0,3665
2018-05-01,Freehold,695970.1687413554,520000.0,2892
2018-05-01,Leasehold,533331.4264287561,425000.0,3867
2018-06-01,Freehold,697053.8547730829,535000.0,3195
2018-06-01,Leasehold,560419.2934645999,435000.0,4774
2018-07-01,Freehold,753661.9090161688,550000.0,3649
2018-07-01,Leasehold,547773.6099687081,426250.0,4474
2018-08-01,Freehold,736837.9295528354,550000.0,4003
2018-08-01,Leasehold,509694.9086305128,423000.0,4739
2018-09-01,Freehold,721574.9034761018,532000.0,3222
2018-09-01,Leasehold,538407.8956646022,425000.0,4198
2018-10-01,Freehold,704018.972173913,525000.0,3450
2018-10-01,Leasehold,542377.4547373358,422450.0,4264
2018-11-01,Freehold,699746.4506308283,525000.0,3646
2018-11-01,Leasehold,534412.2714921527,420000.0,4269
2018-12-01,Freehold,682292.0296924708,515000.0,2829
2018-12-01,Leasehold,537169.2273758508,435000.0,3967
2019-01-01,Freehold,703560.8381804624,519000.0,2682
2019-01-01,Leasehold,541053.0352354225,420000.0,3207
2019-02-01,Freehold,677043.7596190476,510000.0,2625
2019-02-01,Leasehold,539628.9863578681,425000.0,3152
2019-03-01,Freehold,687109.0923024523,500000.0,2936
2019-03-01,Leasehold,548048.7866666666,424000.0,3750
2019-04-01,Freehold,733545.052631579,528002.5,2736
2019-04-01,Leasehold,545735.9851968504,411000.0,3175
2019-05-01,Freehold,694392.6786554622,530000.0,2975
2019-05-01,Leasehold,537135.4147025814,417500.0,3564
2019-06-01,Freehold,704260.6571038251,530000.0,2928
2019-06-01,Leasehold,571585.4610372687,435000.0,3837
2019-07-01,Freehold,746296.876843255,551000.0,3662
2019-07-01,Leasehold,552965.6659850035,442000.0,4401
2019-08-01,Freehold,719928.8024420025,550000.0,4095
2019-08-01,Leasehold,527538.4690147125,425600.0,4486
2019-09-01,Freehold,716557.3082909308,540000.0,3341
2019-09-01,Leasehold,560889.643638171,438000.0,4024
2019-10-01,Freehold,710003.4973936899,530000.0,3645
2019-10-01,Leasehold,548929.2087533809,426000.0,4067
2019-11-01,Freehold,699129.0820556502,530000.0,3522
2019-11-01,Leasehold,574716.9610645638,423000.0,4058
2019-12-01,Freehold,717867.9315940185,530000.0,3143
2019-12-01,Leasehold,645861.1001573151,450000.0,3814
2020-01-01,Freehold,756486.9060717879,535000.0,2981
2020-01-01,Leasehold,585241.5208089098,430000.0,3412
2020-02-01,Freehold,718746.0250677507,525000.0,2952
2020-02-01,Leasehold,577668.6923731216,435000.0,3527
2020-03-01,Freehold,733961.6243351063,530000.0,3008
2020-03-01,Leasehold,591533.2093434343,448000.0,3960
2020-04-01,Freehold,845969.0413844996,522500.0,1329
2020-04-01,Leasehold,588024.9000520562,430000.0,1921
2020-05-01,Freehold,713825.5714285715,500000.0,1323
2020-05-01,Leasehold,552623.2083585706,420000.0,1651
2020-06-01,Freehold,718842.9055555556,530000.0,2160
2020-06-01,Leasehold,564073.4932954083,420000.0,2461
2020-07-01,Freehold,786572.7123618785,575000.0,2896
2020-07-01,Leasehold,577053.1140899613,445000.0,3357
2020-08-01,Freehold,773268.2485732404,575000.0,3154
2020-08-01,Leasehold,577165.7278250303,450000.0,3292
2020-09-01,Freehold,814071.4024116658,585000.0,3566
2020-09-01,Leasehold,614001.6982543641,465000.0,4010
2020-10-01,Freehold,781697.1308659894,585000.0,4134
2020-10-01,Leasehold,556585.6120594103,460000.0,4511
2020-11-01,Freehold,777352.1700697211,580000.0,4016
2020-11-01,Leasehold,556928.2281619654,450000.0,4396
2020-12-01,Freehold,768485.1631612492,585000.0,4707
2020-12-01,Leasehold,565683.0699006876,455000.0,5236
2021-01-01,Freehold,824211.0862371522,588500.0,3989
2021-01-01,Leasehold,546443.7936802974,450000.0,3766
2021-02-01,Freehold,719092.534633758,557750.0,5024
2021-02-01,Leasehold,543302.9879619852,440000.0,4735
2021-03-01,Freehold,774223.0484221285,590000.0,7827
2021-03-01,Leasehold,575969.3101359704,468000.0,8090
2021-04-01,Freehold,720614.2115702479,550000.0,4235
2021-04-01,Leasehold,514583.70932034537,425000.0,4517
2021-05-01,Freehold,754072.7988338192,560000.0,3430
2021-05-01,Leasehold,523105.2944723618,425000.0,3980
2021-06-01,Freehold,794755.1315337423,605000.0,12225
2021-06-01,Leasehold,557333.7226375598,475000.0,13376
2021-07-01,Freehold,958885.3049403748,575750.0,1174
2021-07-01,Leasehold,499554.8739448509,350000.0,1777
2021-08-01,Freehold,942972.7507132668,615000.0,2804
2021-08-01,Leasehold,558837.593550447,392790.0,3132
2021-09-01,Freehold,807724.6207686018,610000.0,6115
2021-09-01,Leasehold,536106.9154840744,425000.0,6342
2021-10-01,Freehold,881580.0248054474,600000.0,2056
2021-10-01,Leasehold,549427.8892055575,400000.0,2807
2021-11-01,Freehold,845258.7188009124,605000.0,3069
2021-11-01,Leasehold,599142.2878499592,420000.0,3679
2021-12-01,Freehold,845911.1956004757,622000.0,3364
2021-12-01,Leasehold,574993.0509509274,427000.0,4259
2022-01-01,Freehold,897399.7254028111,620000.0,2917
2022-01-01,Leasehold,610728.0977080821,432500.0,3316
2022-02-01,Freehold,839133.6256552575,610000.0,3243
2022-02-01,Leasehold,599306.001573977,430000.0,3812
2022-03-01,Freehold,881602.623493976,610000.0,3652
2022-03-01,Leasehold,591306.1792085299,440000.0,4877
2022-04-01,Freehold,891793.5434508816,625000.0,3176
2022-04-01,Leasehold,610798.0309077634,440000.0,4109
2022-05-01,Freehold,891464.3469088778,631000.0,3413
2022-05-01,Leasehold,562037.2956480605,437250.0,4228
2022-06-01,Freehold,916932.7601662214,650000.0,3369
2022-06-01,Leasehold,567496.1090478072,450000.0,5062
2022-07-01,Freehold,934848.1199807646,660000.0,4159
2022-07-01,Leasehold,585999.2648500294,450000.0,5101
2022-08-01,Freehold,973667.9641740803,687500.0,4159
2022-08-01,Leasehold,586671.112754514,458977.5,5206
2022-09-01,Freehold,928616.326171875,680000.0,4096
2022-09-01,Leasehold,588729.074074074,455000.0,5373
2022-10-01,Freehold,866436.7490165224,650000.0,3813
2022-10-01,Leasehold,592378.7691708836,460000.0,5138
2022-11-01,Freehold,873034.0644729802,650000.0,3738
2022-11-01,Leasehold,576483.8389555936,450000.0,5247
2022-12-01,Freehold,878064.4807572936,629250.0,3222
2022-12-01,Leasehold,601365.6973036804,450000.0,5081
2023-01-01,Freehold,912622.3718454259,629250.0,2536
2023-01-01,Leasehold,587227.0891877058,442000.0,3644
2023-02-01,Freehold,875483.4747131321,615000.0,2353
2023-02-01,Leasehold,581691.5087217615,442500.0,3497
2023-03-01,Freehold,869538.9477982954,620000.0,2816
2023-03-01,Leasehold,615263.0503696857,436250.0,4328
2023-04-01,Freehold,880716.012536162,625000.0,2074
2023-04-01,Leasehold,631501.2766783081,450000.0,2577
2023-05-01,Freehold,863943.9603139991,618000.0,2293
2023-05-01,Leasehold,646041.9996594005,445000.0,2936
2023-06-01,Freehold,946203.3854483926,635000.0,2955
2023-06-01,Leasehold,647355.5698835275,450000.0,3606
2023-07-01,Freehold,894834.3623898139,660000.0,3063
2023-07-01,Leasehold,613455.2710124827,450000.0,3605
2023-08-01,Freehold,910175.7281170841,660000.0,3553
2023-08-01,Leasehold,598104.3418071986,455000.0,3973
2023-09-01,Freehold,919622.873218077,645000.0,3297
2023-09-01,Leasehold,625051.2644116246,470000.0,4198
2023-10-01,Freehold,863280.8542955327,624999.5,2910
2023-10-01,Leasehold,636801.4283843938,455000.0,3819
2023-11-01,Freehold,860051.4705451884,615000.0,2733
2023-11-01,Leasehold,616746.5554356623,447000.0,3707
2023-12-01,Freehold,837331.9511217949,620000.0,2496
2023-12-01,Leasehold,669676.4204851752,450000.0,3339
2024-01-01,Freehold,843804.7019386106,618000.0,2476
2024-01-01,Leasehold,625610.7389145087,435000.0,2819
2024-02-01,Freehold,827948.2715363239,600000.0,2519
2024-02-01,Leasehold,588022.7365808253,450000.0,3223
2024-03-01,Freehold,847019.681835419,612500.0,2637
2024-03-01,Leasehold,615778.0684931506,443825.0,3504
2024-04-01,Freehold,880154.3086989992,630000.0,2598
2024-04-01,Leasehold,589540.3113440197,450000.0,3244
2024-05-01,Freehold,859805.7573366993,620000.0,3169
2024-05-01,Leasehold,602229.8203021468,455000.0,3773
2024-06-01,Freehold,881751.1081654294,625000.0,2829
2024-06-01,Leasehold,626020.2306858227,455000.0,3689
